fish_id,country
2550,Thailand
65,Thailand
276,Thailand
2076,Thailand
451,Thailand
229,Thailand
854,Thailand
1166,Thailand
871,Thailand
101,Thailand
937,Thailand
2551,Thailand
86,Thailand
193,Thailand
1581,Thailand
97,Thailand
1299,Thailand
1213,Thailand
2552,Thailand
2553,Thailand
2554,Thailand
2555,Thailand
395,Thailand
603,Thailand
609,Thailand
757,Thailand
908,Thailand
1480,Thailand
316,Thailand
2556,Thailand
2557,Thailand
298,Thailand
2558,Thailand
805,Thailand
1618,Thailand
2559,Thailand
163,Thailand
1678,Thailand
10,Thailand
1484,Thailand
1335,Thailand
1930,Thailand
2560,Thailand
2561,Thailand
2174,Thailand
1177,Thailand
1161,Thailand
691,Thailand
693,Thailand
2,Thailand
2562,Thailand
1298,Thailand
2563,Thailand
2564,Thailand
2565,Thailand
2566,Thailand
2567,Thailand
2568,Thailand
2569,Thailand
2570,Thailand
2571,Thailand
2572,Thailand
2573,Thailand
2574,Thailand
2575,Thailand
2576,Thailand
789,Thailand
1110,Thailand
2577,Thailand
2578,Thailand
2166,Thailand
2579,Thailand
2580,Thailand
2581,Thailand
2582,Thailand
1492,Thailand
2583,Thailand
1542,Thailand
2584,Thailand
2585,Thailand
2586,Thailand
2587,Thailand
1566,Thailand
2588,Thailand
2589,Thailand
1846,Thailand
2590,Thailand
1317,Thailand
2146,Thailand
1543,Thailand
2591,Thailand
2592,Thailand
2593,Thailand
2594,Thailand
2595,Thailand
2596,Thailand
2597,Thailand
2598,Thailand
2599,Thailand
1593,Thailand
1,Thailand
2600,Thailand
747,Thailand
2601,Thailand
2602,Thailand
367,Thailand
1559,Thailand
2055,Thailand
2603,Thailand
2604,Thailand
1015,Thailand
2605,Thailand
1235,Thailand
516,Thailand
2606,Thailand
1001,Thailand
1074,Thailand
2607,Thailand
1486,Thailand
1017,Thailand
724,Thailand
817,Thailand
2167,Thailand
2608,Thailand
255,Thailand
634,Thailand
2609,Thailand
308,Thailand
55,Thailand
2610,Thailand
2611,Thailand
57,Thailand
421,Thailand
178,Thailand
913,Thailand
928,Thailand
624,Thailand
2612,Thailand
1988,Thailand
2613,Thailand
1496,Thailand
2614,Thailand
2615,Thailand
2616,Thailand
2617,Thailand
2618,Thailand
2619,Thailand
1540,Thailand
2620,Thailand
2621,Thailand
654,Thailand
2622,Thailand
530,Thailand
912,Thailand
1173,Thailand
69,Thailand
1164,Thailand
2623,Thailand
905,Thailand
876,Thailand
403,Thailand
2624,Thailand
2625,Thailand
1552,Thailand
1505,Thailand
2626,Thailand
2627,Thailand
2628,Thailand
1810,Thailand
1158,Thailand
160,Thailand
661,Thailand
814,Thailand
879,Thailand
1407,Thailand
1170,Thailand
1891,Thailand
2629,Thailand
781,Thailand
2630,Thailand
2631,Thailand
2632,Thailand
2633,Thailand
2634,Thailand
2635,Thailand
411,Thailand
1283,Thailand
2636,Thailand
2637,Thailand
1643,Thailand
2638,Thailand
2639,Thailand
1939,Thailand
1941,Thailand
118,Thailand
146,Thailand
1506,Thailand
2640,Thailand
1507,Thailand
2641,Thailand
2145,Thailand
2147,Thailand
2164,Thailand
1994,Thailand
2642,Thailand
2643,Thailand
2644,Thailand
2645,Thailand
2646,Thailand
2647,Thailand
1431,Thailand
1315,Thailand
2648,Thailand
2649,Thailand
1884,Thailand
2650,Thailand
2651,Thailand
2652,Thailand
1647,Thailand
2653,Thailand
1557,Thailand
1919,Thailand
2654,Thailand
2655,Thailand
2656,Thailand
1187,Thailand
2657,Thailand
1206,Thailand
201,Thailand
2658,Thailand
1432,Thailand
2659,Thailand
1090,Thailand
1588,Thailand
666,Thailand
2660,Thailand
1162,Thailand
1100,Thailand
2661,Thailand
2662,Thailand
2663,Thailand
2664,Thailand
512,Thailand
2665,Thailand
2666,Thailand
2667,Thailand
2668,Thailand
2669,Thailand
2670,Thailand
2671,Thailand
2672,Thailand
2673,Thailand
2674,Thailand
2675,Thailand
2676,Thailand
2677,Thailand
1621,Thailand
733,Thailand
754,Thailand
1574,Thailand
1391,Thailand
2678,Thailand
1037,Thailand
2679,Thailand
2680,Thailand
2681,Thailand
1494,Thailand
2682,Thailand
2683,Thailand
2016,Thailand
2684,Thailand
2685,Thailand
2686,Thailand
2060,Thailand
2687,Thailand
2688,Thailand
2689,Thailand
59,Thailand
2690,Thailand
2691,Thailand
366,Thailand
2692,Thailand
2693,Thailand
2694,Thailand
2695,Thailand
1535,Thailand
1579,Thailand
1610,Thailand
2064,Thailand
655,Thailand
2696,Thailand
189,Thailand
2697,Thailand
2698,Thailand
1673,Thailand
2699,Thailand
260,Thailand
1763,Thailand
2700,Thailand
2701,Thailand
2702,Thailand
2703,Thailand
2704,Thailand
2705,Thailand
2161,Thailand
2706,Thailand
1353,Thailand
2707,Thailand
2708,Thailand
2709,Thailand
2710,Thailand
2711,Thailand
1861,Thailand
2712,Thailand
2713,Thailand
152,Thailand
2714,Thailand
2715,Thailand
2716,Thailand
2717,Thailand
1895,Thailand
2718,Thailand
2719,Thailand
2720,Thailand
1416,Thailand
2721,Thailand
2722,Thailand
1415,Thailand
296,Thailand
2723,Thailand
2724,Thailand
1364,Thailand
21,Thailand
718,Thailand
1682,Thailand
1006,Thailand
1888,Thailand
268,Thailand
129,Thailand
1263,Thailand
2725,Thailand
158,Thailand
921,Thailand
986,Thailand
686,Thailand
1405,Thailand
1954,Thailand
2726,Thailand
672,Thailand
1376,Thailand
1929,Thailand
2727,Thailand
501,Thailand
476,Thailand
526,Thailand
1665,Thailand
402,Thailand
1179,Thailand
2728,Thailand
595,Thailand
1868,Thailand
1523,Thailand
1937,Thailand
1332,Thailand
2729,Thailand
846,Thailand
1135,Thailand
673,Thailand
2730,Thailand
2049,Thailand
857,Thailand
2731,Thailand
1677,Thailand
2732,Thailand
1159,Thailand
2733,Thailand
2734,Thailand
2735,Thailand
1321,Thailand
2736,Thailand
2737,Thailand
2738,Thailand
577,Thailand
2739,Thailand
