date,common_name,latitude,longitude,country,image,Year,Month
2017-07-27,Giant Moray,5.8807880657,102.7468197018,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,7
2017-07-03,Giant Moray,6.064428,100.045339,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,7
2017-06-30,White-Eyed Moray,10.1055888333,99.8134033333,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,6
2017-06-14,Iridescent Shark,13.6018950813,100.4199578067,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2017,6
2017-05-27,Giant Moray,5.909231023,102.7479949297,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,5
2017-05-20,Common Moray,5.6190416408,103.0643666625,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg,2017,5
2017-05-20,Spotted Moray,5.6190416408,103.0643666625,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/338078611/medium.jpg,2017,5
2017-04-24,Iridescent Shark,13.615884155,100.4444194595,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2017,4
2017-04-18,White-Eyed Moray,5.8436754141,102.762757881,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,4
2017-04-01,Giant Moray,9.9486048999,97.8628659099,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,4
2017-03-30,White-Eyed Moray,10.6264828661,97.970927995,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,3
2017-03-30,Fimbriated Moray,10.6264803333,97.9709271111,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,2017,3
2017-03-29,Fimbriated Moray,11.38961244,97.6661799899,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,2017,3
2017-03-29,Giant Moray,11.38961244,97.6661799899,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,3
2017-03-29,White-Eyed Moray,11.38961244,97.6661799899,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,3
2017-03-28,Fimbriated Moray,10.63560728,97.6944349501,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,2017,3
2017-03-27,White-Eyed Moray,10.35265103,97.93680484,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,3
2017-03-12,Fimbriated Moray,7.6466376835,98.7652213499,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,2017,3
2017-02-25,Giant Moray,7.5506093747,98.7675562128,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,2
2017-02-12,Zebra Moray,7.6743868746,98.7702299195,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/73521761/medium.jpg,2017,2
2017-02-11,Laced Moray,7.6666124471,98.7807275355,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2017,2
2017-01-27,Giant Moray,8.8251233333,97.795995,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,1
2017-01-23,Giant Moray,8.508045,97.6718033333,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,1
2017-01-13,White-Eyed Moray,7.8298291204,98.2942820626,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,1
2017-01-09,Sharksucker,7.7033894585,98.7774917788,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2017,1
2018-12-21,Giant Moray,6.4936882976,99.3122793222,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,12
2018-12-14,Snowflake Moray,6.2736110687,99.7319412231,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2018,12
2018-12-05,Giant Moray,7.4059790013,99.2311352585,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,12
2018-12-04,Laced Moray,8.6753610888,98.2406581837,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2018,12
2018-11-28,White-Eyed Moray,7.797623446,98.5303587862,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,11
2018-11-27,Giant Moray,7.1518544,98.8208648,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,11
2018-11-11,Sharksucker,10.209872,103.95957,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2018,11
