country,common_name,total_observations
Indonesia,"Spotfin Squirrelfish",163
Indonesia,"Blacktail Snapper",163
Indonesia,"Onespot Snapper",162
Indonesia,"Spotted Garden Eel",161
Indonesia,"Jansen'S Wrasse",161
Indonesia,"Thumbprint Emperor",161
Indonesia,"Tripletail Maori Wrasse",161
Indonesia,"Giant Gourami",161
Indonesia,"Violet Soldierfish",160
Indonesia,"Whitebelly Toby",159
Indonesia,"Striate Anglerfish",159
Indonesia,"Napoleon Snake Eel",158
Indonesia,Spadefish,158
Indonesia,Antennarius,157
Indonesia,"Strapweed Filefish",156
Indonesia,"Marbled Goby",156
Indonesia,"Saddle Barb",154
Indonesia,Clarias,152
Indonesia,"Orbicular Cardinalfish",152
Indonesia,"Singapore Glassy Perchlet",152
Indonesia,"Twospot Bristletooth",152
Indonesia,"Longspined Porcupinefish",152
Indonesia,"Redfin Bream",152
Indonesia,"Bluestreak Goby",151
Indonesia,"Barred Shrimpgoby",151
Indonesia,"Blue-Barred Parrotfish",151
Indonesia,"Twotone Wrasse",151
Indonesia,"Blacktail Humbug",150
Indonesia,"Pearly Soldierfish",150
Indonesia,"Specklefin Grouper",150
Indonesia,"Fingerprint Toby",149
Indonesia,"Blackstriped Cardinalfish",149
Indonesia,"Spotted Scat",149
Indonesia,"Blackspot Longtom",149
Indonesia,"Squaretail Mullet",148
Indonesia,"Paletail Unicornfish",148
Indonesia,"White-Edged Lyretail",148
Indonesia,"Tubelip Wrasse",147
Indonesia,"Yellowstriped Cardinalfish",146
Indonesia,"Threadfin Hawkfish",146
Indonesia,"Typical Damselfishs And Anemonefish",145
Indonesia,"Greenblotch Parrotfish",145
Indonesia,"Slingjaw Wrasse",145
Indonesia,"Western Mosquitofish",145
Indonesia,"Cigar Wrasse",144
Indonesia,"Whitebarred Goby",144
Indonesia,"Humpback Unicornfish",144
Indonesia,"Whitestreak Monocle Bream",143
Indonesia,"Yellowfin Surgeonfish",142
Indonesia,"Speckled Butterflyfish",142
Indonesia,"Brown-Banded Bamboo Shark",142
Indonesia,"Great Barracuda",141
Indonesia,"Pickhandle Barracuda",141
Indonesia,"Spanner Barb",141
Indonesia,Pomacentrus,140
Indonesia,"Spot-Tail Butterflyfish",139
Indonesia,"Weedy Pygmy Seahorse",139
Indonesia,"Tiger Cardinalfish",139
Indonesia,"Tricolour Parrotfish",138
Indonesia,"Flowery Rockcod",138
Indonesia,"Sunda Swamp Eel",138
Indonesia,"Freshwater Angelfish",137
Indonesia,"True Rasbora",137
Indonesia,"Banded Snake Eel",137
Indonesia,"Linespot Fangblenny",136
Indonesia,"Spotbanded Butterflyfish",136
Indonesia,"Mimic Filefish",136
Indonesia,"Dusky Rabbitfish",136
Indonesia,"Convict Surgeonfish",135
Indonesia,"Typical Scorpionfish",135
Indonesia,"Palette Tang",135
Indonesia,"Yellowmargin Triggerfish",134
Indonesia,Cyprinid,134
Indonesia,"Singular Bannerfish",134
Indonesia,"Highfin Chub",133
Indonesia,"Barred Thicklip",133
Indonesia,"Vanikoro Sweeper",133
Indonesia,"Bigeye Snapper",132
Indonesia,"Coral Rabbitfish",132
Indonesia,"Blackbar Damselfish",132
