scientific_name,common_name,image_url
Choerodon anchorago,Anchor Tuskfish,https://inaturalist-open-data.s3.amazonaws.com/photos/914196/medium.jpg
Scarus ghobban,Blue-barred Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/183680244/medium.jpg
Mugilidae,Mullets,https://inaturalist-open-data.s3.amazonaws.com/photos/241579364/medium.jpeg
Cryptocentrus cinctus,Yellow Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/719427/medium.jpg
Tylosurus crocodilus,Houndfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70924450/medium.jpg
Scorpaenopsis oxycephala,Smallscale Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/469525259/medium.jpg
Plotosus lineatus,Striped Eel Catfish,https://inaturalist-open-data.s3.amazonaws.com/photos/487402396/medium.jpg
Arothron nigropunctatus,Blackspotted Puffer,https://static.inaturalist.org/photos/13138055/medium.jpg
Ecsenius dilemma,Twocoat Coralblenny,https://inaturalist-open-data.s3.amazonaws.com/photos/19491554/medium.jpg
Oxudercinae,Mudskippers,https://static.inaturalist.org/photos/150666887/medium.jpg
Lutjanidae,Snappers,https://static.inaturalist.org/photos/12773793/medium.jpg
Scarinae,Parrotfishes,https://static.inaturalist.org/photos/27623205/medium.jpg
Rhinomuraena quaesita,Ribbon Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/230839617/medium.jpg
Pseudechidna brummeri,White Ribbon Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/62394981/medium.jpg
Cheilodipterus artus,Wolf Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/7495112/medium.jpg
Scorpaeninae,Typical Scorpionfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/219055626/medium.jpg
Cirrhitichthys falco,Dwarf Hawkfish,https://inaturalist-open-data.s3.amazonaws.com/photos/11975084/medium.jpeg
Amphiprion biaculeatus,Spine-cheek Clownfish,https://static.inaturalist.org/photos/73558357/medium.jpg
Antennarius maculatus,Warty Anglerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/32218160/medium.jpg
Iniistius pavo,Peacock Razorfish,https://static.inaturalist.org/photos/30770406/medium.jpg
Heteroconger taylori,Taylor's Garden Eel,https://static.inaturalist.org/photos/242328346/medium.jpg
Acentronura tentaculata,Dwarf Pipehorse,https://inaturalist-open-data.s3.amazonaws.com/photos/53653127/medium.jpg
Trachyrhamphus bicoarctatus,Bentstick Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/6033373/medium.jpg
Amblyeleotris guttata,Spotted Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/254692196/medium.jpg
Amphiprion ocellaris,Ocellaris Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/106318566/medium.jpg
